year,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,liveness,speechiness,backing_dancers,backing_singers,backing_instruments,instrument_10,final_televote_points,final_jury_points,final_place,semi_place,favourite_10,host_10
2011,6,23,Ukraine,Mika Newton,Angel,English,Ballad,Female,1,F Minor,162,54,44,22,-9,14,20,3,1,1,0,0,168,117,4,6,0,0
2011,7,15,Moldova,Zdob si Zdub,So Lucky,English,Rock,Male,1,E Minor,148,89,74,81,-4,1,10,6,1,0,4,0,98,82,12,10,0,0
2011,8,7,Sweden,Eric Saade,Popular,English,Dance,Male,1,A Major,125,96,54,49,-5,0,5,10,3,2,0,0,221,106,3,1,0,0
2011,12,0,Israel,Dana International,Ding Dong,"Hebrew, English",Pop,Female,1,As Minor,128,84,66,36,-4,-,32,3,0,5,0,0,0,0,0,15,0,0
2011,13,20,Slovenia,Maja Keuc,No One,English,Ballad,Female,1,F Minor,88,81,28,31,-3,8,11,4,0,4,0,0,39,160,13,3,0,0
2011,15,8,Estonia,Getter Jaani,Rockefeller Street,English,Pop,Female,1,Eb Minor,130,89,81,75,-4,12,10,5,3,2,0,0,32,74,24,9,0,0
2011,17,0,Latvia,Musiqq,Angel in Disguise,English,Pop,Male,2,Bb Major,125,79,63,61,-4,1,9,5,0,4,0,1,0,0,0,17,0,0
2011,18,3,Denmark,A Friend in London,New Tomorrow,English,Rock,Male,1,G Major,147,67,50,41,-6,16,10,3,0,2,3,1,61,168,5,2,0,0
2011,19,6,Ireland,Jedward,Lipstick,English,Pop,Male,2,F Minor,138,48,73,15,-10,0,36,5,0,4,0,0,101,119,8,8,0,0
2011,0,11,France,Amaury Vassili,Sognu,Corsican,Ballad,Male,1,Bb Minor,128,77,29,23,-4,80,15,5,0,0,0,0,76,90,15,-,1,0
2011,0,12,Italy,Raphael Gualazzi,Madness of Love,"Italian, English",Ballad,Male,1,C Major,144,41,53,37,-7,72,22,4,0,0,5,1,99,251,2,-,0,0
2011,0,14,United Kingdom,Blue,I Can,English,Pop,Male,4,Ab Major,93,90,60,70,-6,-,11,7,0,2,0,0,166,57,11,-,0,0
2011,0,16,Germany,Lena,Taken by a Stranger,English,Pop,Female,1,F Minor,160,38,75,37,-12,5,11,8,3,2,0,0,113,104,10,-,0,1
2011,0,22,Spain,Lucia Perez,Que me quiten lo bailao,Spanish,Pop,Female,1,D Major,99,86,68,86,-3,27,6,8,0,5,0,0,73,38,23,-,0,0
2010,1,4,Moldova,SunStroke Project and Olia Tira,Run Away,English,Pop,Mix,2,Eb Minor,130,93,66,36,-3,1,18,8,3,0,1,1,28,33,22,-,0,0
2010,2,20,Russia,Peter Nalitch and Friends,Lost and Forgotten,English,Ballad,Male,1,C Major,98,47,36,21,-4,16,10,3,0,0,5,0,107,63,11,7,0,0
2010,3,0,Estonia,Malcolm Lincoln,Siren,English,Pop,Male,1,A Major,103,63,59,56,-7,-,17,4,0,4,1,0,0,0,0,14,0,0
2010,4,0,Slovakia,Kristina,Horehronie,Slovak,Traditional,Female,1,As Mijor,120,91,70,48,-5,-,24,5,4,1,0,0,0,0,0,16,0,0
2010,5,0,Finland,Kuunkuiskaajat,Tyolki ellaa,Finnish,Traditional,Female,2,A Minor,115,84,46,55,-5,69,9,8,0,2,1,1,0,0,0,11,0,0
2010,6,0,Latvia,Aisha,What For?,English,Ballad,Female,1,G Minor,78,62,64,45,-4,6,19,3,0,4,0,0,0,0,0,17,0,0
2010,7,8,Serbia,Milan Stankovic,Ovo je Balkan,Serbian,Pop,Male,1,G minor,105,66,81,97,-10,-,59,6,2,2,0,0,110,37,13,5,0,0
2010,8,6,Bosnia and Herzegovina,Vukasin Brajic,Thunder and Lightning,English,Rock,Male,1,F Minor,187,63,31,42,-6,-,16,3,0,5,0,1,0,0,17,8,0,0
2010,9,0,Poland,Marcin Mrozinski,Legenda,"English, Polish",Ballad,Male,1,E Major,168,72,26,43,-7,-,6,8,2,3,0,0,0,0,0,13,0,0
2010,10,7,Belgium,Tom Dice,Me and My Guitar,English,Pop,Male,1,A Major,129,34,47,42,-8,62,14,3,0,0,0,1,76,185,6,1,0,0
2010,11,0,Malta,Thea Garrett,My Dream,English,Ballad,Female,1,Fs Major,138,67,44,31,-5,14,12,3,1,3,0,0,0,0,0,12,0,0
2010,12,15,Albania,Juliana Pasha,It's All About You,English,Pop,Female,1,Cs Major,137,80,59,72,-5,-,24,3,0,3,1,0,35,97,16,6,0,0
2010,13,11,Greece,Giorgos Alkaios and Friends,OPA,Greek,Pop,Male,1,C Major,135,94,73,74,-4,0,7,4,0,4,0,0,152,110,8,2,0,0
2010,14,23,Portugal,Filipa Azevedo,Ha dias assim,Portuguese,Ballad,Female,1,Fs Major,132,47,52,26,-7,-,21,3,0,3,1,0,24,69,18,4,0,0
2010,15,0,Macedonia,Gjoko Taneski,Jas ja imam silata,Macedonian,Pop,Male,1,E Minor,102,94,45,36,-3,-,28,7,2,2,1,0,0,0,0,15,0,0
2010,16,9,Belarus,3+2 feat Robert Wells,Butterflies,English,Ballad,Mix,5,C Major,130,29,43,19,-9,-,10,3,0,0,1,0,18,22,24,9,0,0
2010,17,16,Iceland,Hera Bjork,Je ne sais quoi,English,Dance,Female,1,Eb Minor,132,88,53,28,-4,3,17,7,0,5,0,0,40,57,19,3,0,0
2010,1,0,Lithuania,InCulto,Eastern European Funk,English,Dance,Male,5,A Major,134,76,83,93,-7,3,18,5,0,0,0,0,0,0,0,12,0,0
2010,2,21,Armenia,Eva Rivas,Apricot Stone,English,Pop,Female,1,B Minor,101,67,61,38,-9,25,16,10,1,3,1,0,166,116,7,6,0,0
2010,3,24,Israel,Harel Skaat,Milim,Hebrew,Ballad,Male,1,Ab Minor,115,51,39,20,-6,60,19,3,0,2,1,0,27,134,14,8,0,0
2010,4,25,Denmark,Chanee and N'evergreen,In a Moment Like This,English,Pop,Mix,2,Fs Major,95,77,66,39,-5,28,10,3,0,4,0,0,174,121,4,5,0,0
2010,5,0,Switzerland,Michael von der Heide,Il pleut de l'or,French,Pop,Male,1,F Minor,128,75,73,73,-6,11,33,3,0,3,1,0,0,0,0,17,0,0
2010,6,0,Sweden,Anna Bergendahl,This Is My Life,English,Pop,Female,1,C Minor,83,60,54,45,-5,-,28,3,0,5,0,1,0,0,0,11,0,0
2010,7,1,Azerbaijan,Safura,Drip Drop,English,Ballad,Female,1,Fs Major,148,66,47,23,-4,1,8,3,1,3,0,0,161,116,5,2,0,0
2010,8,17,Ukraine,Alyosha,Sweet People,English,Ballad,Female,1,E Minor,120,41,63,12,-6,72,14,4,0,0,0,0,94,129,10,7,0,0
2010,9,0,Netherlands,Sieneke,Ik ben verliefd,Dutch,Pop,Female,1,Db Minor,162,91,62,77,-3,29,6,5,0,3,2,0,0,0,0,14,0,0
2010,10,19,Romania,Paula Seling and Ovi,Playing with Fire,English,Pop,Mix,2,G Major,122,82,66,96,-3,2,6,4,0,4,0,1,155,167,3,4,0,0
2010,12,10,Ireland,Niamh Kavanagh,It's for You,English,Ballad,Female,1,C Major,130,46,40,16,-5,33,9,3,0,4,0,0,15,62,23,9,0,0
2010,13,0,Bulgaria,Miro,Angel si ti,"Bulgarian, English",Pop,Male,1,D Minor,133,94,59,68,-4,-,38,5,4,0,0,0,0,0,0,15,0,0
